Format Version,1.25,Take Name,Take 2026-04-10 07.17.20 PM,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2026-04-10 07.17.20.324 ,Capture Start Frame,571468,Total Frames in Take,1452,Total Exported Frames,1452,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Rigid Body 001:Marker 004,Rigid Body 001:Marker 004,Rigid Body 001:Marker 004,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Rigid Body 001:Marker 004,Rigid Body 001:Marker 004,Rigid Body 001:Marker 004,Unlabeled 1063,Unlabeled 1063,Unlabeled 1063,Unlabeled 1064,Unlabeled 1064,Unlabeled 1064,Unlabeled 1065,Unlabeled 1065,Unlabeled 1065,Unlabeled 1066,Unlabeled 1066,Unlabeled 1066,Unlabeled 1067,Unlabeled 1067,Unlabeled 1067
,ID,9CD38A742DEF11F1C49A80DE9094A5,9CD38A742DEF11F1C49A80DE9094A5,9CD38A742DEF11F1C49A80DE9094A5,9CD38A742DEF11F1C49A80DE9094A5,9CD38A742DEF11F1C49A80DE9094A5,9CD38A742DEF11F1C49A80DE9094A5,9CD38A742DEF11F1C49A80DE9094A5,"9CD38A742DEF11F1:C49A80DE9094A5","9CD38A742DEF11F1:C49A80DE9094A5","9CD38A742DEF11F1:C49A80DE9094A5","9CD38A742DEF11F1:C49A80DE9094A5","9CD38A742DEF11F1:C49A80DE9094A5","9CD38A742DEF11F1:C49A80DE9094A5","9CD38A742DEF11F1:C49A80DE9094A5","9CD38A742DEF11F1:C49A80DE9094A5","9CD38A742DEF11F1:C49A80DE9094A5","9CD38A742DEF11F1:C49A80DE9094A5","9CD38A742DEF11F1:C49A80DE9094A5","9CD38A742DEF11F1:C49A80DE9094A5","212FA537350111F1:C49A80DE9097A5","212FA537350111F1:C49A80DE9097A5","212FA537350111F1:C49A80DE9097A5","212FA538350111F1:C49A80DE9097A5","212FA538350111F1:C49A80DE9097A5","212FA538350111F1:C49A80DE9097A5","212FA539350111F1:C49A80DE9097A5","212FA539350111F1:C49A80DE9097A5","212FA539350111F1:C49A80DE9097A5","212FA53A350111F1:C49A80DE9097A5","212FA53A350111F1:C49A80DE9097A5","212FA53A350111F1:C49A80DE9097A5","1C3:8EF3FB4034FA11F1","1C3:8EF3FB4034FA11F1","1C3:8EF3FB4034FA11F1","1C4:8EF3FB4034FA11F1","1C4:8EF3FB4034FA11F1","1C4:8EF3FB4034FA11F1","1C5:8EF3FB4034FA11F1","1C5:8EF3FB4034FA11F1","1C5:8EF3FB4034FA11F1","1C7:8EF3FB4034FA11F1","1C7:8EF3FB4034FA11F1","1C7:8EF3FB4034FA11F1","1C9:8EF3FB4034FA11F1","1C9:8EF3FB4034FA11F1","1C9:8EF3FB4034FA11F1"
,Parent,,,,,,,,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.648147,-0.388128,-0.421954,-0.501216,747.455322,318.870148,2387.744385,763.021484,261.753601,2339.088379,738.123840,298.276550,2449.592041,731.933960,364.651154,2441.906250,756.742004,350.799469,2320.390869,762.990723,261.982056,2338.323242,738.208130,298.327789,2449.860107,731.760803,364.852478,2441.990234,756.868713,350.322510,2320.594238,718.388611,447.082520,2363.503418,745.845947,227.073364,2396.184326,688.382996,723.406311,2321.308105,711.424072,499.680145,2356.716064,,,
1,0.004167,0.648326,-0.388000,-0.422123,-0.500940,747.388367,318.823639,2387.722168,762.987427,261.703583,2339.080811,738.081116,298.241852,2449.577637,731.843018,364.609772,2441.872803,756.641968,350.739441,2320.357910,762.994141,261.887939,2338.274658,738.137024,298.309143,2449.840332,731.695740,364.808350,2441.960693,756.741394,350.289673,2320.572510,718.312744,446.998779,2363.447998,745.805786,227.011780,2396.191895,688.206360,723.330139,2321.205078,711.301880,499.604858,2356.633545,,,
2,0.008333,0.648239,-0.388198,-0.421927,-0.501064,747.317566,318.791748,2387.675781,762.884705,261.658478,2339.039551,737.992554,298.220184,2449.531738,731.796631,364.591461,2441.821777,756.596436,350.696991,2320.309814,762.863464,261.879791,2338.271240,738.067017,298.287354,2449.807861,731.635925,364.773163,2441.900146,756.715942,350.228149,2320.513428,718.193420,446.957733,2363.371094,745.750977,226.979645,2396.167236,688.103455,723.183167,2321.084473,711.204834,499.531555,2356.558594,,,
3,0.012500,0.648384,-0.388080,-0.422015,-0.500896,747.240723,318.745422,2387.625977,762.835938,261.610291,2339.000977,737.926147,298.181458,2449.486084,731.697327,364.548096,2441.762939,756.503540,350.641998,2320.253662,762.812378,261.846161,2338.235107,738.001831,298.235199,2449.762939,731.534668,364.741608,2441.839111,756.625000,350.161682,2320.459473,718.102478,446.897308,2363.297852,745.716980,226.932144,2396.143555,687.920654,723.123169,2320.923584,711.104980,499.424530,2356.459961,,,
4,0.016667,0.648689,-0.387859,-0.421994,-0.500688,747.179321,318.697479,2387.565430,762.830139,261.553375,2338.968750,737.857361,298.152161,2449.430664,731.586121,364.511444,2441.678467,756.443726,350.573120,2320.183594,762.851501,261.756989,2338.180176,737.895691,298.218689,2449.702637,731.458313,364.699219,2441.759521,756.532715,350.115173,2320.390869,718.003296,446.851837,2363.204102,745.636841,226.909225,2396.108643,687.753601,723.049072,2320.757080,710.967407,499.372498,2356.356689,,,
